127.0.0.1 - - [14/Aug/2024:09:59:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Aug/2024:09:59:57 +0530] "GET /01_banking_application/login.jsp HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [14/Aug/2024:09:59:58 +0530] "GET /01_banking_application/static/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:09:59:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:04:42 +0530] "POST /01_banking_application/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:04:42 +0530] "GET /01_banking_application/adminDashboard.jsp HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:05:09 +0530] "POST /01_banking_application/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:05:09 +0530] "GET /01_banking_application/login.jsp HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:47 +0530] "POST /01_banking_application/LoginServlet HTTP/1.1" 200 1239
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:57 +0530] "POST /01_banking_application/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:55:57 +0530] "GET /01_banking_application/adminDashboard.jsp HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:56:03 +0530] "GET /01_banking_application/addCustomer.jsp HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:56:47 +0530] "POST /01_banking_application/AddCustomerServlet HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:57:11 +0530] "POST /01_banking_application/AddCustomerServlet HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [14/Aug/2024:10:58:46 +0530] "POST /01_banking_application/AddCustomerServlet HTTP/1.1" 200 1677
